food_code,name,basis_unit,per100_kcal,per100_protein_g,per100_fat_g,per100_carb_g,per100_sugar_g,source
R211-171014050-0000,삼치류_삼치_육_구운것_대표_평균,100g,204,23.60,10.80,0.10,,수산과학원
R211-171014001-0009,삼치류_삼치_육_생것_대표_9월,100g,112,20.08,2.93,0.00,,수산과학원
R211-171014001-0000,삼치류_삼치_육_생것_대표_평균,100g,124,20.08,2.93,0.00,0.00,수산과학원
R211-171014001-1200,삼치류_삼치_육_생것_부산_5월,100g,108,18.99,2.70,0.60,0.60,수산과학원
R211-171014001-0757,삼치류_삼치_육_생것_여수_4월,100g,109,21.34,1.97,0.00,,수산과학원
R211-171014071-0000,삼치류_삼치_육_젓갈_대표_평균,100g,112,22.70,1.10,0.00,,수산과학원
R211-171034001-1202,삼치류_줄삼치_육_생것_부산_7월,100g,134,24.60,3.10,0.20,0.20,수산과학원
R211-171054001-0000,삼치류_평삼치_육_생것_대표_평균,100g,134,17.90,4.80,0.00,,수산과학원
R211-173014001-1197,상어류_가래상어_육_생것_부산_2월,100g,99,22.20,0.50,0.10,0.10,수산과학원
R211-173034001-0000,상어류_곱상어_육_생것_대표_평균,100g,164,16.20,10.00,0.30,0.30,수산과학원
R211-173054001-0353,상어류_까치상어_육_생것_군산_3월,100g,112,24.10,0.70,0.90,0.90,수산과학원
R211-173074301-0000,상어류_돔발상어_알_생것_대표_평균,100g,329,25.00,23.50,0.50,0.50,수산과학원
R211-173074001-0000,상어류_돔발상어_육_생것_대표_평균,100g,85,17.90,1.00,0.00,0.00,수산과학원
R211-173094001-0004,상어류_두툽상어_육_생것_대표_4월,100g,111,23.48,1.30,0.00,,수산과학원
R211-173094001-1200,상어류_두툽상어_육_생것_부산_5월,100g,94,21.41,0.30,0.29,0.29,수산과학원
R211-173094001-0757,상어류_두툽상어_육_생것_여수_4월,100g,119,25.17,1.32,0.00,,수산과학원
R211-173114001-1199,상어류_모조리상어_육_생것_부산_4월,100g,108,21.70,1.70,0.00,0.00,수산과학원
R211-173134001-1200,상어류_별상어_육_생것_부산_5월,100g,103,23.53,0.30,0.27,0.27,수산과학원
R211-173134001-5350,상어류_별상어_육_생것_수입_평균,100g,95,21.20,1.00,0.01,0.28,수산과학원
R211-173154001-0000,상어류_악상어_육_생것_대표_평균,100g,284,13.40,24.20,0.00,0.00,수산과학원
R211-173154001-5350,상어류_악상어_육_생것_수입_평균,100g,107,23.90,1.21,0.00,0.00,수산과학원
R211-173174001-1199,상어류_은상어_육_생것_부산_4월,100g,101,22.90,0.50,0.00,0.00,수산과학원
R211-173214001-0000,상어류_청새리상어_육_생것_대표_평균,100g,101,18.50,2.40,0.10,0.10,수산과학원
R211-173234001-1200,상어류_흉상어_육_생것_부산_5월,100g,112,23.50,1.40,0.00,0.00,수산과학원
R211-175014001-1200,새다래_육_생것_부산_5월,100g,104,18.90,2.60,0.00,0.00,수산과학원
R211-717014001-1205,새우류_각시흰새우_육_생것_부산_10월,100g,85,15.70,1.60,1.00,1.00,수산과학원
R211-717054001-0008,새우류_그라비새우_육_생것_대표_8월,100g,89,19.48,0.76,0.00,,수산과학원
R211-717034001-0000,새우류_긴뿔천길새우_육_생것_대표_평균,100g,92,20.00,0.80,0.00,0.00,수산과학원
R211-717074004-0000,새우류_꽃새우_육_삶아서 말린것_대표_평균,100g,307,55.50,5.90,4.10,4.10,수산과학원
R211-717074001-0000,새우류_꽃새우_육_생것_대표_평균,100g,127,22.00,2.00,0.60,,수산과학원
R211-717074062-0000,새우류_꽃새우_육_장류를 넣고 가열하여 조린것_대표_평균,100g,255,25.90,2.60,25.80,,수산과학원
R211-717074049-0000,새우류_꽃새우_육_찐것_대표_평균,100g,132,22.78,1.70,1.52,0.00,수산과학원
R211-717074055-0000,"새우류_꽃새우_육_튀긴것(튀김옷, 수분많은 반죽)_대표_평균",100g,242,21.39,12.28,11.47,0.80,수산과학원
R211-717073902-0000,새우류_꽃새우_전체_말린것_대표_평균,100g,341,56.31,7.70,7.58,,수산과학원
R211-717114001-1678,새우류_대롱수염새우_육_생것_동해EEZ_2월,100g,99,21.38,0.49,1.00,,수산과학원
R211-717114001-1201,새우류_대롱수염새우_육_생것_부산_6월,100g,98,17.92,0.63,3.92,,수산과학원
