food_code,name,basis_unit,per100_kcal,per100_protein_g,per100_fat_g,per100_carb_g,per100_sugar_g,source
R101-037070101-0000,조_차조+경관2호_도정_생것,100g,375,12.83,4.37,70.03,0.78,농진청
R101-037080101-0000,조_차조+삼다찰_도정_생것,100g,369,12.07,3.86,70.39,0.97,농진청
R101-037090101-0000,조_차조+황미찰_도정_생것,100g,371,9.28,3.38,74.54,1.06,농진청
R101-038000301-0000,찹쌀_백미_생것,100g,363,6.64,0.99,78.17,0.29,농진청
R101-038000306-0000,찹쌀_백미_분말화한것,100g,377,7.56,0.98,80.62,0.41,농진청
R101-038000501-0000,찹쌀_현미_생것,100g,356,7.28,2.29,75.52,0.90,농진청
R101-038000701-0000,찹쌀_흑미_생것,100g,362,7.83,2.75,75.66,1.77,농진청
R101-038130301-0000,찹쌀_화선찰벼_백미_생것,100g,375,9.50,2.60,75.20,,농진청
R101-038150301-0000,찹쌀_동진찰벼_백미_생것,100g,363,6.64,1.04,78.11,0.07,농진청
R101-038150501-0000,찹쌀_동진찰벼_현미_생것,100g,357,7.14,2.18,76.22,0.39,농진청
R101-038160301-0000,찹쌀_백옥찰_백미_생것,100g,365,6.77,1.12,78.23,0.55,농진청
R101-038160501-0000,찹쌀_백옥찰_현미_생것,100g,358,7.47,2.38,75.65,1.05,농진청
R101-038170301-0000,찹쌀_백진주_백미_생것,100g,359,6.63,0.76,77.68,0.25,농진청
R101-038170501-0000,찹쌀_백진주_현미_생것,100g,358,7.38,2.39,75.82,1.12,농진청
R101-038180301-0000,찹쌀_보람찰_백미_생것,100g,365,6.54,1.04,78.67,0.28,농진청
R101-038180501-0000,찹쌀_보람찰_현미_생것,100g,350,7.11,2.21,74.39,1.03,농진청
R101-038190701-0000,찹쌀_눈큰흑찰1호_흑미_생것,100g,360,8.19,2.69,75.08,2.19,농진청
R101-038200701-0000,찹쌀_조생흑찰_흑미_생것,100g,363,7.47,2.80,76.23,1.34,농진청
R101-040010002-0000,찹쌀 국수_흑미찰국수_말린것,100g,334,8.10,0.30,74.60,,농진청
R101-043010101-0000,피_IEC525(NO.5)_도정_생것,100g,376,8.50,4.60,73.90,,농진청
R101-044000006-0000,호밀_분말화한것,100g,324,8.50,1.60,75.80,0.90,농진청
R101-044001801-0000,호밀_통호밀_생것,100g,334,15.90,1.50,70.70,,농진청
R101-046000003-0000,퀴노아_쪄서 말린것,100g,363,9.56,3.26,72.62,1.34,농진청
R101-047002001-0000,잡곡_현미+찹쌀+현미찹쌀+보리 등_생것,100g,358,9.79,2.09,73.40,0.93,농진청
R101-048008002-0000,아마란스_노란색_말린것,100g,383,17.09,5.94,67.27,1.65,농진청
R101-048008102-0000,아마란스_빨간색_말린것,100g,381,16.47,5.78,67.59,1.71,농진청
R101-049000100-0000,귀리밥_도정,100g,218,6.51,5.36,36.54,0.42,농진청
R101-049010100-0000,귀리밥_쌀귀리+대양_도정,100g,215,6.71,5.13,36.09,0.43,농진청
R101-049020100-0000,귀리밥_쌀귀리+조양_도정,100g,221,6.31,5.59,36.98,0.41,농진청
R101-050010500-0000,찹쌀밥_보람찰_현미,100g,181,3.55,1.25,38.41,0.45,농진청
R101-050180300-0000,찹쌀밥_보람찰_백미,100g,155,2.58,0.33,33.93,0.00,농진청
R101-010000083-0000,멥쌀 국수_말린것을 삶은것,100g,132,2.59,0.29,28.37,0,농진청
R101-034000100-0000,율무밥_도정,100g,172,7.1,2.35,30.34,0.15,농진청
R102-001060001-0000,감자_대지_생것,100g,67,2.01,0.04,15.08,0.00,농진청
R102-001060046-0000,감자_대지_삶은것,100g,77,2.07,0.08,17.39,0.00,농진청
R102-001060049-0000,감자_대지_찐것,100g,80,2.11,0.09,18.17,0.00,농진청
R102-001060050-0000,감자_대지_구운것,100g,90,2.43,0.09,20.50,0.00,농진청
R102-001140001-0000,감자_수미_생것,100g,70,1.93,0.03,16.07,0.00,농진청
R102-001140046-0000,감자_수미_삶은것,100g,76,1.99,0.04,17.43,0.00,농진청
R102-001140049-0000,감자_수미_찐것,100g,75,1.94,0.05,17.28,0.00,농진청
R102-001140050-0000,감자_수미_구운것,100g,85,2.30,0.08,19.38,0.00,농진청
R102-001180001-0000,감자_ 자색_ 생것,100g,82,2.80,,18.50,,농진청
R102-001180049-0000,감자_ 자색_ 찐것,100g,85,2.30,,19.50,,농진청
R102-001190001-0000,감자_자심_생것,100g,64,1.80,0.00,14.70,,농진청
R102-001210001-0000,감자_보라밸리_생것,100g,60,1.45,0.02,13.79,0.00,농진청
R102-001210046-0000,감자_보라밸리_삶은것,100g,69,1.39,0.05,15.97,0.00,농진청
R102-001220001-0000,감자_로즈밸리_생것,100g,68,2.25,0.03,15.18,0.00,농진청
R102-001220046-0000,감자_로즈밸리_삶은것,100g,79,2.34,0.09,17.87,0.00,농진청
R102-005000000-0000,으깬감자,100g,83,1.91,0.57,17.57,1.48,농진청
R102-006000001-0000,고구마_생것,100g,147,1.09,0.15,35.52,9.83,농진청
R102-006000002-0000,고구마_말린것,100g,312,2.30,0.10,75.70,,농진청
R102-006000049-0000,고구마_찐것,100g,163,1.08,0.15,39.41,13.75,농진청
R102-006000050-0000,고구마_구운것,100g,188,1.13,0.16,45.48,19.08,농진청
R102-006067201-0000,고구마_신율미_껍질제거_생것,100g,164,1.00,0.61,38.84,4.64,농진청
R102-006070001-0000,고구마_신자미_생것,100g,107,1.30,0.10,25.50,,농진청
R102-006080001-0000,고구마_연황미_생것,100g,127,1.10,0.00,30.70,,농진청
R102-006100001-0000,고구마_주황미_생것,100g,105,1.00,0.10,25.10,,농진청
R102-006110001-0000,고구마_ 진홍미_ 생것,100g,140,1.20,,33.80,,농진청
R102-006150001-0000,고구마_분질(밤) 고구마_생것,100g,154,1.01,0.11,37.22,9.83,농진청
R102-006150049-0000,고구마_분질(밤) 고구마_찐것,100g,169,1.07,0.15,40.90,13.02,농진청
R102-006150050-0000,고구마_분질(밤) 고구마_구운것,100g,189,1.01,0.16,45.94,14.95,농진청
R102-006160001-0000,고구마_점질(호박) 고구마_생것,100g,141,1.17,0.20,33.81,9.83,농진청
R102-006160049-0000,고구마_점질(호박) 고구마_찐것,100g,157,1.10,0.15,37.91,14.48,농진청
R102-006160050-0000,고구마_점질(호박) 고구마_구운것,100g,186,1.25,0.16,45.02,23.21,농진청
R102-006177201-0000,고구마_베니하루까_껍질제거_생것,100g,147,1.03,0.45,34.91,7.08,농진청
R102-007010002-0000,당면_고구마_말린것,100g,358,0.08,0.07,88.75,0.00,농진청
R102-007010046-0000,당면_고구마_삶은것,100g,123,0.03,0.04,30.38,0.00,농진청
R102-007020002-0000,당면_고구마+감자_말린것,100g,346,0.00,0.20,86.60,0.00,농진청
R102-009000006-0000,곤약(구약나물)_분말화한것,100g,194,3.00,0.10,85.30,,농진청
R102-009020001-0000,곤약(구약나물)_판형_생것,100g,6,0.12,0.01,3.06,0.00,농진청
R102-010000001-0000,돼지감자_생것,100g,35,2.18,0.09,14.92,6.37,농진청
R102-010000002-0000,돼지감자_말린것,100g,172,10.43,0.46,74.35,11.64,농진청
R102-010000046-0000,돼지감자_삶은것,100g,39,2.23,0.11,17.16,0.00,농진청
R102-011010001-0000,마_단마_생것,100g,63,1.84,0.12,14.05,1.00,농진청
R102-011030001-0000,마_장마_생것,100g,45,1.56,0.28,9.55,2.22,농진청
R102-011030046-0000,마_장마_삶은것,100g,49,1.47,0.25,10.51,2.47,농진청
R102-011040001-0000,마_둥근마_생것,100g,152,3.56,0.98,33.24,0.15,농진청
R102-012000001-0000,아피오스감자_생것,100g,175,6.10,0.50,38.20,,농진청
R102-014010006-0000,전분_감자_분말화한것,100g,334,0.07,0.02,82.70,0.05,농진청
R102-014020006-0000,전분_고구마_분말화한것,100g,346,0.00,0.05,85.85,0.01,농진청
R102-014030006-0000,전분_밀_분말화한것,100g,360,0.20,0.50,86.00,0.00,농진청
R102-014040006-0000,전분_쌀_분말화한것,100g,375,0.20,0.70,89.30,0.00,농진청
R102-014050006-0000,전분_옥수수_분말화한것,100g,366,0.19,0.56,89.60,0.05,농진청
R102-014060006-0000,전분_옥수수+밀_분말화한것,100g,379,0.30,0.00,93.80,,농진청
R102-014090006-0000,전분_칡뿌리_분말화한것,100g,356,0.20,0.20,85.60,0.00,농진청
R102-015000001-0000,천마_생것,100g,77,0.90,0.00,18.50,,농진청
R102-015000049-0000,천마_찐것,100g,81,1.10,0.00,19.30,,농진청
R102-016000001-0000,칡뿌리_생것,100g,137,2.48,0.10,32.05,3.58,농진청
R102-017000001-0000,토란_생것,100g,71,2.08,0.14,15.77,0.00,농진청
R102-017000046-0000,토란_삶은것,100g,73,2.17,0.18,16.28,0.46,농진청
R102-017000049-0000,토란_찐것,100g,76,2.40,0.17,16.75,0.00,농진청
R102-018007601-0000,야콘_뿌리_생것,100g,52,0.60,0.30,12.40,0.50,농진청
R102-018007646-0000,야콘_뿌리_삶은것,100g,42,0.60,0.30,9.90,,농진청
R102-019000000-0000,칡즙,100g,21,0.44,0.00,4.91,1.51,농진청
R102-020000001-0000,히카마(얌빈)_생것,100g,44,0.68,0.06,10.36,4.59,농진청
R102-020000046-0000,히카마(얌빈)_삶은것,100g,45,0.39,0.06,10.66,2.93,농진청
R102-006000005-0000,고구마말랭이_말린것,100g,277,3.62,0.34,65.58,31.77,농진청
R102-009010047-0000,곤약(구약나물)_국수형_데친것,100g,7,0.01,0.01,3.58,0,농진청
R102-009010001-0000,곤약(구약나물)_국수형_생것,100g,7,0.08,0.01,3.18,0,농진청
R103-003000000-0000,꿀,100g,313,0.28,0.01,84.83,72.67,농진청
R103-003020000-0000,꿀_밤,100g,314,0.45,0.02,84.95,67.37,농진청
R103-003040000-0000,꿀_아카시아,100g,308,0.12,0,83.46,74.68,농진청
R103-003050000-0000,꿀_잡화,100g,318,0.26,0.02,86.07,75.96,농진청
R103-003060000-0000,꿀_토종,100g,313,0.38,0.02,84.73,67.18,농진청
R103-004010000-0000,당밀_가공당,100g,274,0.20,0.00,68.20,,농진청
R103-011000006-0000,설탕_분말화한것,100g,389,0.00,0.00,99.77,97.81,농진청
R103-011010000-0000,설탕_각설탕,100g,394,0.00,0.00,100.00,99.90,농진청
R103-011020000-0000,설탕_백설탕,100g,387,0.00,0.01,99.96,99.70,농진청
R103-011030000-0000,설탕_빙설탕,100g,394,0.10,0.00,99.80,99.90,농진청
R103-011040000-0000,설탕_황설탕,100g,386,0.00,0.01,99.81,97.00,농진청
R103-011050000-0000,설탕_흑설탕,100g,379,0.12,0.01,97.88,90.00,농진청
R103-019000000-0000,포도당,100g,342,0.00,0.00,91.00,88.20,농진청
R104-001000001-0000,강낭콩_생것,100g,172,8.80,0.86,32.38,0.00,농진청
R104-001000002-0000,강낭콩_말린것,100g,350,21.20,1.10,63.90,,농진청
R104-001000046-0000,강낭콩_삶은것,100g,170,8.46,0.90,31.90,0.00,농진청
R104-002000002-0000,녹두_말린것,100g,352,24.51,1.52,60.15,0.00,농진청
R104-002000046-0000,녹두_삶은것,100g,158,11.29,0.67,26.66,0.00,농진청
R104-004000002-0000,녹두 국수_말린것,100g,344,0.20,0.40,87.50,0.00,농진청
R104-005000000-0000,녹두묵,100g,40,0.12,0.03,9.81,0.02,농진청
R104-006000001-0000,동부_생것,100g,166,9.51,1.02,29.34,0.21,농진청
R104-006000002-0000,동부_말린것,100g,343,19.61,2.10,60.56,0.44,농진청
R104-006000046-0000,동부_삶은것,100g,138,8.11,0.77,24.46,0.14,농진청
R104-006010002-0000,동부_수입산(미얀마산)_말린것,100g,345,22.08,2.07,59.43,0.00,농진청
R104-006010046-0000,동부_수입산(미얀마산)_삶은것,100g,155,10.02,1.12,26.28,0.00,농진청
R104-007000002-0000,라이마빈스_말린것,100g,306,21.90,1.80,60.80,1.20,농진청
R104-007000046-0000,라이마빈스_삶은것,100g,122,9.60,0.90,26.00,0.50,농진청
R104-008000001-0000,완두_생것,100g,114,7.92,0.44,19.51,0.00,농진청
R104-008000002-0000,완두_말린것,100g,363,20.70,1.30,67.10,,농진청
R104-008000046-0000,완두_삶은것,100g,122,7.27,1.10,20.78,0.00,농진청
R104-009000001-0000,작두(도두)_생것,100g,125,9.00,0.30,21.50,,농진청
R104-009000002-0000,작두(도두)_말린것,100g,344,26.30,1.00,57.40,,농진청
R104-010000001-0000,잠두_생것,100g,341,26.12,1.53,58.29,5.70,농진청
R104-010000046-0000,잠두_삶은것,100g,110,7.60,0.40,19.65,1.82,농진청
R104-011000002-0000,쥐눈이콩(검정소립콩)_말린것,100g,403,37.32,14.61,30.59,5.58,농진청
R104-011000046-0000,쥐눈이콩(검정소립콩)_삶은것,100g,184,17.99,6.79,12.71,1.55,농진청
R104-011000058-0000,쥐눈이콩(검정소립콩)_볶은것,100g,447,42.31,16.71,31.73,5.56,농진청
R104-012010002-0000,콩(대두)_갈색콩(밤콩)_말린것,100g,410,35.00,17.20,30.60,,농진청
R104-012020002-0000,콩(대두)_노란콩_말린것,100g,409,36.21,14.71,32.99,6.64,농진청
R104-012020046-0000,콩(대두)_노란콩_삶은것,100g,201,17.82,9.50,12.02,2.43,농진청
R104-012020058-0000,콩(대두)_노란콩_볶은것,100g,444,40.47,17.21,33.57,6.32,농진청
R104-012020087-0000,콩(대두)_노란콩_가루를 볶은것,100g,430,38.5,21.36,30.81,7.51,농진청
R104-012030002-0000,콩(대두)_대풍_말린것,100g,405,34.36,13.83,36.94,5.51,농진청
R104-012030058-0000,콩(대두)_대풍_볶은것,100g,460,35.80,19.50,37.30,,농진청
R104-012040002-0000,콩(대두)_수입산(미국산)_말린것,100g,432,33.90,16.00,39.60,,농진청
R104-012050002-0000,콩(대두)_서리태_말린것,100g,413,38.68,15.86,30.45,6.45,농진청
R104-012050046-0000,콩(대두)_서리태_삶은것,100g,196,19.02,8.75,11.39,6.95,농진청
R104-012050058-0000,콩(대두)_서리태_볶은것,100g,436,41.72,16.72,31.27,6.73,농진청
R104-012060002-0000,콩(대두)_수입산(중국산)_말린것,100g,433,32.70,16.90,39.20,,농진청
R104-012070002-0000,콩(대두)_청자3호_말린것,100g,399,34.60,12.60,37.84,9.36,농진청
R104-012070058-0000,콩(대두)_청자3호_볶은것,100g,452,37.40,18.10,36.70,,농진청
R104-012080002-0000,콩(대두)_흑태_말린것,100g,407,36.10,15.37,32.45,6.44,농진청
R104-012080046-0000,콩(대두)_흑태_삶은것,100g,199,17.87,9.05,12.40,2.19,농진청
R104-012080058-0000,콩(대두)_흑태_볶은것,100g,446,40.99,17.31,33.31,5.70,농진청
R104-018010002-0000,팥_검정팥_말린것,100g,330,20.63,0.96,58.72,0.43,농진청
R104-018010046-0000,팥_검정팥_삶은것,100g,156,9.49,0.86,27.15,0.28,농진청
R104-018020002-0000,팥_붉은팥_말린것,100g,335,21.82,1.07,58.56,0.45,농진청
R104-018020046-0000,팥_붉은팥_삶은것,100g,113,7.91,0.32,19.40,0.16,농진청
R104-018050002-0000,팥_팥+황백_말린것,100g,343,22.38,1.17,59.85,0.36,농진청
R104-018060002-0000,팥_검정팥+검구슬_말린것,100g,336,20.57,1.05,60.26,0.40,농진청
R104-018070002-0000,팥_붉은팥+서나_말린것,100g,341,21.14,1.22,60.56,0.46,농진청
R104-018080002-0000,팥_붉은팥+아라리_말린것,100g,338,21.59,1.06,59.50,0.52,농진청
R104-018090002-0000,팥_녹색팥+연두채_말린것,100g,341,22.58,1.00,59.54,0.28,농진청
R104-018100002-0000,팥_팥+황백+흰구슬_말린것,100g,348,21.55,1.44,61.43,0.39,농진청
R104-018110002-0000,팥_팥+황백+흰나래_말린것,100g,337,23.20,0.89,58.26,0.34,농진청
R104-020018102-0000,렌즈콩(렌틸콩)_수입산(인도산)_빨간색_말린것,100g,359,22.22,1.68,63.63,1.33,농진청
R104-020018402-0000,렌즈콩(렌틸콩)_수입산(인도산)_갈색_말린것,100g,359,21.01,1.43,65.42,1.30,농진청
R104-021010002-0000,병아리콩_수입산(인도산)_말린것,100g,373,17.27,5.66,63.14,,농진청
R104-001000083-0000,강낭콩_말린것을 삶은것,100g,169,10.35,0.93,29.43,0.75,농진청
R104-020018183-0000,렌즈콩(렌틸콩)_수입산(인도산)_빨간색_말린것을 삶은 것,100g,150,9.79,0.88,25.39,0.49,농진청
R104-021010083-0000,병아리콩_수입산(인도산)_말린것을 삶은 것,100g,183,9.18,3.2,29.24,0.71,농진청
R104-008000083-0000,완두_말린것을 삶은것,100g,174,13.03,1.35,27.06,2.04,농진청
R105-001000002-0000,개암(헤이즐넛)_말린것,100g,628,14.95,60.75,16.70,4.34,농진청
R105-001000058-0000,개암(헤이즐넛)_볶은것,100g,646,15.03,62.40,17.60,4.89,농진청
R105-002000001-0000,도토리_생것,100g,230,4.40,3.00,46.70,,농진청
R105-002000006-0000,도토리_분말화한것,100g,354,1.10,1.10,83.70,,농진청
R105-002010006-0000,도토리_졸참도토리_분말화한것,100g,342,4.60,0.50,79.20,,농진청
R105-002020006-0000,도토리_종가시도토리_분말화한것,100g,348,3.30,1.60,79.50,,농진청
R105-003000002-0000,도토리 국수_말린것,100g,343,12.40,0.70,72.20,,농진청
R105-004000000-0000,도토리묵,100g,47,0.33,0.11,11.23,0.00,농진청
R105-004000006-0000,도토리묵_분말화한것,100g,366,1.70,1.23,87.09,0.01,농진청
R105-005000002-0000,들깨_말린것,100g,530,22.68,39.74,29.26,1.46,농진청
R105-005000058-0000,들깨_볶은것,100g,530,23.59,36.23,35.53,1.48,농진청
R105-007000002-0000,땅콩_말린것,100g,520,25.74,42.57,18.36,4.40,농진청
R105-007000006-0000,땅콩_분말화한것,100g,560,28.43,43.11,24.62,6.26,농진청
R105-007000058-0000,땅콩_볶은것,100g,567,28.50,46.24,19.91,5.18,농진청
R105-007000090-0000,땅콩_삶은것에 소금을 가한것,100g,318,13.50,22.01,21.26,2.47,농진청
R105-007010002-0000,땅콩_검정땅콩_말린것,100g,574,19.30,47.70,26.50,,농진청
R105-007020002-0000,땅콩_대립종_말린것,100g,571,26.10,49.10,17.10,,농진청
R105-007030002-0000,땅콩_소립종_말린것,100g,564,22.40,46.30,24.20,,농진청
R105-007040002-0000,땅콩_중립종_말린것,100g,549,20.30,43.00,29.10,,농진청
R105-009000002-0000,때죽_말린것,100g,551,13.60,44.70,31.80,,농진청
R105-011000001-0000,마름_생것,100g,183,5.80,0.50,40.60,1.60,농진청
R105-013000001-0000,머루씨_생것,100g,282,6.30,4.80,54.00,,농진청
R105-014000001-0000,밤_생것,100g,153,3.16,0.74,33.46,6.30,농진청
R105-014000002-0000,밤_말린것,100g,370,6.94,2.45,79.86,24.40,농진청
R105-014000046-0000,밤_삶은것,100g,155,3.23,0.69,33.96,6.69,농진청
R105-014000050-0000,밤_구운것,100g,188,4.07,0.79,41.15,7.95,농진청
R105-014020001-0000,밤_대보_생것,100g,161,3.27,0.93,34.87,6.91,농진청
R105-014020046-0000,밤_대보_삶은것,100g,162,3.13,0.91,35.32,6.71,농진청
R105-014020050-0000,밤_대보_구운것,100g,183,3.83,0.97,39.82,7.88,농진청
R105-014030001-0000,밤_옥광_생것,100g,147,2.94,0.78,32.10,7.03,농진청
R105-014030046-0000,밤_옥광_삶은것,100g,149,3.10,0.66,32.65,7.32,농진청
R105-017000002-0000,브라질너트_말린것,100g,659,14.32,67.10,11.74,2.33,농진청
R105-018000002-0000,삼씨(대마씨)_말린것,100g,450,29.90,28.30,31.70,2.30,농진청
R105-019000002-0000,수박씨_말린것,100g,451,19.30,22.90,47.20,,농진청
R105-020000002-0000,아몬드_말린것,100g,581,23.44,49.96,20.09,6.82,농진청
R105-020000058-0000,아몬드_볶은것,100g,594,23.45,51.29,20.49,3.91,농진청
R105-021008501-0000,연씨_미숙_생것,100g,81,5.90,0.50,14.90,0.50,농진청
R105-022000001-0000,은행_생것,100g,203,4.69,1.53,42.78,2.95,농진청
R105-022000046-0000,은행_삶은것,100g,186,4.31,1.86,38.25,1.91,농진청
R105-022000058-0000,은행_볶은것,100g,221,5.00,2.05,45.76,3.33,농진청
R105-023000001-0000,잣_생것,100g,658,16.62,65.69,12.50,2.02,농진청
R105-023000058-0000,잣_볶은것,100g,669,18.93,66.43,11.51,2.02,농진청
R105-026010002-0000,참깨_검정깨_말린것,100g,549,20.85,44.12,26.45,0.00,농진청
R105-026010058-0000,참깨_검정깨_볶은것,100g,539,21.28,42.30,27.42,0.00,농진청
R105-026020002-0000,참깨_흰깨_말린것,100g,556,25.41,45.31,21.77,0.00,농진청
R105-026020058-0000,참깨_흰깨_볶은것,100g,557,25.96,45.11,21.83,0.00,농진청
R105-030000002-0000,코코넛_말린것,100g,660,6.88,64.53,23.65,7.35,농진청
R105-030000058-0000,코코넛_볶은것,100g,592,5.30,47.00,44.40,,농진청
R105-032000002-0000,피스타치오넛_말린것,100g,560,20.16,45.32,27.17,7.66,농진청
R105-032000058-0000,피스타치오넛_볶은것,100g,584,25.99,48.89,20.82,8.15,농진청
R105-033000002-0000,피칸_말린것,100g,691,9.17,71.97,13.86,3.97,농진청
R105-034000002-0000,해바라기씨_말린것,100g,589,21.93,52.26,18.58,2.68,농진청
R105-034000058-0000,해바라기씨_볶은것,100g,582,19.33,49.80,24.07,2.73,농진청
R105-035000002-0000,호두_말린것,100g,688,15.47,71.99,7.92,0.00,농진청
R105-035000058-0000,호두_볶은것,100g,713,14.60,68.80,11.70,2.50,농진청
R105-036000002-0000,호박씨_말린것,100g,548,35.35,48.18,5.34,0.00,농진청
R105-037000058-0000,아마씨_볶은것,100g,540,21.80,43.30,30.40,0.90,농진청
R105-038000002-0000,치아씨_씨앗_말린것,100g,486,16.54,30.74,42.12,,농진청
R105-039000050-0000,목화씨_구운것,100g,506,32.59,36.29,21.90,,농진청
R106-001002601-0000,가시오가피_순_생것,100g,76,5.67,0.70,15.87,2.48,농진청
